Text,Company,Rating,Sentiment,Feedback Response
The cloud infrastructure rollout was flawless. Zero downtime and everything scaled perfectly on day one. A true enterprise solution.,Microsoft,5,Positive,"Thrilled to hear the rollout was flawless! Zero downtime is our standard, and we're glad we delivered an enterprise solution that scales with you."
"Salesforce's CRM platform is indispensable for our sales team, but the cost of add-ons quickly spirals out of control.",Salesforce,4,Negative,We appreciate that Salesforce is indispensable! We understand cost concerns regarding add-ons and are reviewing pricing structures to ensure better predictability and value.
Their customer support for a minor billing issue was absolutely abysmal. Took 4 different transfers and two weeks to resolve.,Google,1,Negative,That sounds incredibly frustrating. We sincerely apologize for the abysmal support experience. We are immediately investigating this issue to eliminate unnecessary transfers and speed up resolution times.
Adobe Creative Cloud is the industry standard for a reason. Always reliable and the new features are a game-changer for our design team.,Adobe,5,Positive,Fantastic! We are proud to be the industry standard. Knowing the new features are game-changers for your team makes all the hard work worthwhile!
"Zoom's video quality is excellent, even with a large number of participants. The meeting management features are intuitive.",Zoom,5,Positive,"Excellent to hear! We focus on delivering superb quality and intuitive meeting management, no matter the size of the group."
"HubSpot's marketing automation tools are powerful, but the learning curve for a small team is much steeper than advertised.",HubSpot,3,Negative,"We acknowledge the power of our tools, but apologize if the learning curve was steep. We're enhancing our onboarding materials and training resources for small teams immediately!"
N-iX delivered our custom mobile app ahead of schedule and under budget. High technical competency and excellent project management.,N-iX,5,Positive,Wonderful news! Delivering high-quality results ahead of schedule is what we strive for. Thank you for recognizing our technical competency and management!
VLink's managed IT services have stabilized our network. We've seen a 40% reduction in system failures since switching.,VLink,5,Positive,That's the stability we aim for! We're delighted to see a significant 30% reduction in system failures and look forward to further optimizing your network.
Accedia's consulting team helped us define a clear digital transformation roadmap. Their industry knowledge was invaluable.,Accedia,4,Positive,Defining a clear roadmap is crucial! We're glad our consulting team's industry knowledge proved invaluable in shaping your digital transformation journey.
TruAdvantage's cybersecurity audit was thorough and exposed critical vulnerabilities we weren't aware of. Peace of mind restored.,TruAdvantage,5,Positive,Restoring peace of mind is our mission! We're pleased our thorough audit uncovered critical vulnerabilities and helped secure your environment.
The latest Microsoft update caused a major conflict with our legacy accounting software. It took days for a patch to be issued.,Microsoft,2,Negative,We sincerely apologize for the conflict and the resulting downtime. We are working hard to minimize legacy system impacts and accelerate critical patch deployment timelines.
We were overcharged for a feature we never used. Getting a refund from Salesforce was a bureaucratic nightmare.,Salesforce,1,Negative,We deeply regret the billing error and the bureaucratic difficulty in obtaining your refund. We are committed to simplifying our billing and resolution processes immediately.
Google's Workspace collaboration tools are the backbone of our remote operations. Seamless integration across all devices.,Google,5,Positive,Thrilled to be the backbone of your remote operations! Seamless integration and reliability are what Google Workspace is all about.
"Subscription pricing for Adobe is fair, but their licensing model across multiple users is overly complicated.",Adobe,3,Negative,We appreciate the feedback on fair subscription pricing. We recognize the complexity of multi-user licensing and are actively working to simplify this system for easier management.
Zoom's free tier is a lifesaver for small non-profits. Functionality is fantastic for the price.,Zoom,5,Positive,"That's fantastic to hear! Supporting non-profits is important to us, and we're happy the free tier provides fantastic functionality."
HubSpot's reporting dashboard is not as customizable as we need it to be. Lacks depth for advanced analytics.,HubSpot,3,Negative,"Thank you for this honest feedback. We hear you on the need for deeper customization and advanced analytics in the reporting dashboard, and this is a key focus area for future updates."
The N-iX development team was responsive and adapted quickly to our changing project requirements. Very agile.,N-iX,5,Positive,Excellent! Responsiveness and agility are core tenets of our development process. We're proud your team adapted so quickly!
VLink's helpdesk response time is consistently slow during peak hours. Need more staff to handle tickets faster.,VLink,2,Negative,We apologize for the slow response times during peak hours. We are immediately reviewing staffing levels and optimizing our helpdesk flow to ensure faster ticket handling.
Accedia's offshore resources integrated well with our internal team. No communication issues and strong work ethic.,Accedia,4,Positive,Great to hear about the smooth integration! We prioritize strong communication and work ethic to ensure our resources feel like a true extension of your team.
TruAdvantage's proactive monitoring caught a hardware failure before it impacted our business. Great service!,TruAdvantage,5,Positive,That’s the power of proactive monitoring! We're thrilled we prevented a disruption and provided great service.
Microsoft Azure has provided the scalability we desperately needed for our expanding data needs. Excellent platform.,Microsoft,5,Positive,We're delighted Azure is meeting your scalability needs! It's designed to grow seamlessly with your expanding data requirements.
Salesforce's user interface feels outdated and clunky compared to newer CRM competitors. Needs a refresh.,Salesforce,3,Negative,"Thank you for this direct feedback. We recognize the need for a modern, refreshed UI to improve user experience and are actively investing in these updates."
